battery_id,cycle_number,time_min,voltage_v,current_a,capacity_ah,state_of_health,temp_c
B0007,1,0.0,4.1614,-2.0,0.0,0.9992,22.77
B0007,1,0.908,4.1448,-2.0,0.02019,0.9992,23.56
B0007,1,1.817,4.1564,-2.0,0.04037,0.9992,24.01
B0007,1,2.725,4.1438,-2.0,0.06056,0.9992,25.25
B0007,1,3.633,4.1537,-2.0,0.08074,0.9992,24.54
B0007,1,4.542,4.1536,-2.0,0.10093,0.9992,26.39
B0007,1,5.45,4.1609,-2.0,0.12112,0.9992,23.31
B0007,1,6.359,4.1581,-2.0,0.1413,0.9992,24.38
B0007,1,7.267,4.1525,-2.0,0.16149,0.9992,22.31
B0007,1,8.175,4.1491,-2.0,0.18167,0.9992,23.19
B0007,1,9.084,4.1541,-2.0,0.20186,0.9992,25.07
B0007,1,9.992,4.1396,-2.0,0.22204,0.9992,23.98
B0007,1,10.9,4.1556,-2.0,0.24223,0.9992,23.81
B0007,1,11.809,4.1536,-2.0,0.26242,0.9992,24.35
B0007,1,12.717,4.1517,-2.0,0.2826,0.9992,23.73
B0007,1,13.625,4.1439,-2.0,0.30279,0.9992,22.88
B0007,1,14.534,4.1535,-2.0,0.32297,0.9992,24.02
B0007,1,15.442,4.1493,-2.0,0.34316,0.9992,23.58
B0007,1,16.351,4.1485,-2.0,0.36335,0.9992,25.05
B0007,1,17.259,4.1483,-2.0,0.38353,0.9992,22.66
B0007,1,18.167,4.1537,-2.0,0.40372,0.9992,23.8
B0007,1,19.076,4.1502,-2.0,0.4239,0.9992,25.61
B0007,1,19.984,4.1499,-2.0,0.44409,0.9992,24.29
B0007,1,20.892,4.1441,-2.0,0.46427,0.9992,23.78
B0007,1,21.801,4.153,-2.0,0.48446,0.9992,22.44
B0007,1,22.709,4.151,-2.0,0.50465,0.9992,24.1
B0007,1,23.617,4.1502,-2.0,0.52483,0.9992,25.04
B0007,1,24.526,4.1517,-2.0,0.54502,0.9992,25.48
B0007,1,25.434,4.145,-2.0,0.5652,0.9992,24.14
B0007,1,26.343,4.1504,-2.0,0.58539,0.9992,22.93
B0007,1,27.251,4.1548,-2.0,0.60558,0.9992,26.32
B0007,1,28.159,4.1499,-2.0,0.62576,0.9992,24.51
B0007,1,29.068,4.1504,-2.0,0.64595,0.9992,23.29
B0007,1,29.976,4.1409,-2.0,0.66613,0.9992,23.29
B0007,1,30.884,4.143,-2.0,0.68632,0.9992,25.7
B0007,1,31.793,4.1494,-2.0,0.70651,0.9992,23.65
B0007,1,32.701,4.1544,-2.0,0.72669,0.9992,22.88
B0007,1,33.609,4.1461,-2.0,0.74688,0.9992,24.07
B0007,1,34.518,4.1551,-2.0,0.76706,0.9992,24.5
B0007,1,35.426,4.1512,-2.0,0.78725,0.9992,24.08
B0007,1,36.335,4.152,-2.0,0.80743,0.9992,24.2
B0007,1,37.243,4.1448,-2.0,0.82762,0.9992,24.05
B0007,1,38.151,4.1446,-2.0,0.84781,0.9992,24.08
B0007,1,39.06,4.1475,-2.0,0.86799,0.9992,26.54
B0007,1,39.968,4.1497,-2.0,0.88818,0.9992,22.6
B0007,1,40.876,4.1491,-2.0,0.90836,0.9992,24.52
B0007,1,41.785,4.1581,-2.0,0.92855,0.9992,23.41
B0007,1,42.693,4.1417,-2.0,0.94874,0.9992,24.82
B0007,1,43.601,4.1426,-2.0,0.96892,0.9992,23.56
B0007,1,44.51,4.1481,-2.0,0.98911,0.9992,23.93
B0007,1,45.418,4.1526,-2.0,1.00929,0.9992,23.32
B0007,1,46.327,4.1474,-2.0,1.02948,0.9992,23.99
B0007,1,47.235,4.1491,-2.0,1.04966,0.9992,24.1
B0007,1,48.143,4.1499,-2.0,1.06985,0.9992,24.84
B0007,1,49.052,4.1489,-2.0,1.09004,0.9992,24.45
B0007,1,49.96,4.1379,-2.0,1.11022,0.9992,24.05
B0007,1,50.868,4.1467,-2.0,1.13041,0.9992,24.73
B0007,1,51.777,4.1388,-2.0,1.15059,0.9992,23.34
B0007,1,52.685,4.1366,-2.0,1.17078,0.9992,24.54
B0007,1,53.593,4.1409,-2.0,1.19097,0.9992,23.59
B0007,1,54.502,4.1351,-2.0,1.21115,0.9992,24.12
B0007,1,55.41,4.123,-2.0,1.23134,0.9992,23.79
B0007,1,56.319,4.118,-2.0,1.25152,0.9992,24.33
B0007,1,57.227,4.1131,-2.0,1.27171,0.9992,23.15
B0007,1,58.135,4.0875,-2.0,1.2919,0.9992,23.47
B0007,1,59.044,4.0582,-2.0,1.31208,0.9992,23.99
B0007,1,59.952,4.0337,-2.0,1.33227,0.9992,26.92
B0007,1,60.86,3.9937,-2.0,1.35245,0.9992,22.87
B0007,1,61.769,3.9467,-2.0,1.37264,0.9992,21.93
B0007,1,62.677,3.8829,-2.0,1.39282,0.9992,24.02
B0007,1,63.585,3.8112,-2.0,1.41301,0.9992,24.97
B0007,1,64.494,3.7138,-2.0,1.4332,0.9992,23.85
