battery_id,cycle_number,capacity_ah,rated_capacity_ah,state_of_health,temperature_c,internal_resistance_mohm,charge_time_min,discharge_time_min,voltage_drop_v,energy_wh,remaining_useful_life,is_end_of_life,alpha,temp_profile
B0007,1,1.99455,2.0,0.99728,25.39,149.68,119.65,94.09,0.2851,7.3798,444,False,0.0008,Room Temp
B0007,2,1.98199,2.0,0.99099,25.57,149.69,118.78,87.63,0.2968,7.3334,443,False,0.0008,Room Temp
B0007,3,2.00799,2.0,1.004,25.6,158.04,115.87,88.06,0.2877,7.4296,442,False,0.0008,Room Temp
B0007,4,1.98714,2.0,0.99357,25.91,157.28,119.14,89.38,0.3077,7.3524,441,False,0.0008,Room Temp
B0007,5,1.99365,2.0,0.99683,25.53,146.76,120.8,91.58,0.2894,7.3765,440,False,0.0008,Room Temp
B0007,6,1.99603,2.0,0.99801,29.63,159.83,121.12,88.35,0.3215,7.3853,439,False,0.0008,Room Temp
B0007,7,1.99251,2.0,0.99626,24.39,149.57,120.51,92.59,0.3036,7.3723,438,False,0.0008,Room Temp
B0007,8,1.99494,2.0,0.99747,23.53,157.98,120.76,87.87,0.3191,7.3813,437,False,0.0008,Room Temp
B0007,9,1.97772,2.0,0.98886,22.73,154.83,120.56,86.62,0.3202,7.3176,436,False,0.0008,Room Temp
B0007,10,1.98864,2.0,0.99432,22.59,146.62,119.39,88.6,0.2944,7.358,435,False,0.0008,Room Temp
B0007,11,1.97957,2.0,0.98979,19.99,149.84,118.78,90.35,0.2927,7.3244,434,False,0.0008,Room Temp
B0007,12,1.99432,2.0,0.99716,20.18,159.17,119.24,91.46,0.3191,7.379,433,False,0.0008,Room Temp
B0007,13,1.98842,2.0,0.99421,23.23,151.38,124.09,89.25,0.305,7.3572,432,False,0.0008,Room Temp
B0007,14,1.9876,2.0,0.9938,21.94,158.9,118.04,89.18,0.3185,7.3541,431,False,0.0008,Room Temp
B0007,15,1.96414,2.0,0.98207,22.44,163.89,122.12,88.26,0.3302,7.2673,430,False,0.0008,Room Temp
B0007,16,1.97221,2.0,0.9861,26.71,161.85,120.28,91.04,0.3159,7.2972,429,False,0.0008,Room Temp
B0007,17,1.98545,2.0,0.99273,20.94,164.68,118.66,88.86,0.3105,7.3462,428,False,0.0008,Room Temp
B0007,18,1.96777,2.0,0.98388,21.92,155.27,119.1,90.47,0.3126,7.2807,427,False,0.0008,Room Temp
B0007,19,1.97229,2.0,0.98615,21.81,154.37,124.98,87.28,0.3253,7.2975,426,False,0.0008,Room Temp
B0007,20,1.96631,2.0,0.98316,24.0,167.36,123.31,88.26,0.3308,7.2753,425,False,0.0008,Room Temp
B0007,21,1.96623,2.0,0.98312,24.68,167.87,119.51,89.72,0.3521,7.2751,424,False,0.0008,Room Temp
