battery_id,cycle_number,time_min,voltage_v,current_a,capacity_ah,state_of_health,temp_c
B0005,1,0.0,4.1552,-2.0,0.0,0.9992,23.46
B0005,1,0.908,4.1566,-2.0,0.02018,0.9992,24.2
B0005,1,1.817,4.1604,-2.0,0.04037,0.9992,23.31
B0005,1,2.725,4.1587,-2.0,0.06055,0.9992,24.2
B0005,1,3.633,4.1467,-2.0,0.08074,0.9992,23.52
B0005,1,4.542,4.1484,-2.0,0.10092,0.9992,24.42
B0005,1,5.45,4.1526,-2.0,0.12111,0.9992,23.43
B0005,1,6.358,4.1499,-2.0,0.14129,0.9992,26.14
B0005,1,7.267,4.1586,-2.0,0.16148,0.9992,24.44
B0005,1,8.175,4.1502,-2.0,0.18166,0.9992,24.12
B0005,1,9.083,4.1531,-2.0,0.20185,0.9992,22.98
B0005,1,9.992,4.1487,-2.0,0.22203,0.9992,22.33
B0005,1,10.9,4.152,-2.0,0.24222,0.9992,24.65
B0005,1,11.808,4.1476,-2.0,0.2624,0.9992,25.57
B0005,1,12.716,4.1439,-2.0,0.28259,0.9992,22.54
B0005,1,13.625,4.1511,-2.0,0.30277,0.9992,25.05
B0005,1,14.533,4.1584,-2.0,0.32296,0.9992,23.54
B0005,1,15.441,4.1554,-2.0,0.34314,0.9992,23.96
B0005,1,16.35,4.1491,-2.0,0.36333,0.9992,24.88
B0005,1,17.258,4.1533,-2.0,0.38351,0.9992,22.42
B0005,1,18.166,4.1574,-2.0,0.4037,0.9992,25.38
B0005,1,19.075,4.1469,-2.0,0.42388,0.9992,24.4
B0005,1,19.983,4.1525,-2.0,0.44407,0.9992,24.26
B0005,1,20.891,4.1472,-2.0,0.46425,0.9992,23.33
B0005,1,21.8,4.1499,-2.0,0.48444,0.9992,25.17
B0005,1,22.708,4.1527,-2.0,0.50462,0.9992,23.63
B0005,1,23.616,4.1539,-2.0,0.52481,0.9992,21.15
B0005,1,24.525,4.1557,-2.0,0.54499,0.9992,22.26
B0005,1,25.433,4.1482,-2.0,0.56518,0.9992,22.88
B0005,1,26.341,4.1435,-2.0,0.58536,0.9992,25.16
B0005,1,27.25,4.1477,-2.0,0.60555,0.9992,24.35
B0005,1,28.158,4.1498,-2.0,0.62573,0.9992,24.48
B0005,1,29.066,4.1504,-2.0,0.64592,0.9992,22.72
B0005,1,29.975,4.155,-2.0,0.6661,0.9992,23.51
B0005,1,30.883,4.1422,-2.0,0.68629,0.9992,23.57
B0005,1,31.791,4.1575,-2.0,0.70647,0.9992,24.85
B0005,1,32.699,4.1482,-2.0,0.72665,0.9992,23.65
B0005,1,33.608,4.1484,-2.0,0.74684,0.9992,26.08
B0005,1,34.516,4.1519,-2.0,0.76702,0.9992,24.43
B0005,1,35.424,4.1551,-2.0,0.78721,0.9992,24.24
B0005,1,36.333,4.1487,-2.0,0.80739,0.9992,23.8
B0005,1,37.241,4.1496,-2.0,0.82758,0.9992,23.96
B0005,1,38.149,4.1536,-2.0,0.84776,0.9992,24.05
B0005,1,39.058,4.1536,-2.0,0.86795,0.9992,23.92
B0005,1,39.966,4.1503,-2.0,0.88813,0.9992,22.0
B0005,1,40.874,4.1544,-2.0,0.90832,0.9992,24.35
B0005,1,41.783,4.1547,-2.0,0.9285,0.9992,21.1
B0005,1,42.691,4.1601,-2.0,0.94869,0.9992,23.86
B0005,1,43.599,4.1551,-2.0,0.96887,0.9992,22.96
B0005,1,44.508,4.1524,-2.0,0.98906,0.9992,22.95
B0005,1,45.416,4.146,-2.0,1.00924,0.9992,25.91
B0005,1,46.324,4.1478,-2.0,1.02943,0.9992,24.22
B0005,1,47.233,4.1527,-2.0,1.04961,0.9992,24.5
B0005,1,48.141,4.1485,-2.0,1.0698,0.9992,24.36
B0005,1,49.049,4.159,-2.0,1.08998,0.9992,23.94
B0005,1,49.958,4.1468,-2.0,1.11017,0.9992,25.05
B0005,1,50.866,4.1499,-2.0,1.13035,0.9992,25.19
B0005,1,51.774,4.1455,-2.0,1.15054,0.9992,22.86
B0005,1,52.682,4.1477,-2.0,1.17072,0.9992,22.85
B0005,1,53.591,4.1372,-2.0,1.19091,0.9992,23.25
B0005,1,54.499,4.1302,-2.0,1.21109,0.9992,24.33
B0005,1,55.407,4.1252,-2.0,1.23128,0.9992,24.42
B0005,1,56.316,4.1223,-2.0,1.25146,0.9992,24.45
B0005,1,57.224,4.1004,-2.0,1.27165,0.9992,24.96
B0005,1,58.132,4.0907,-2.0,1.29183,0.9992,22.77
B0005,1,59.041,4.0654,-2.0,1.31202,0.9992,24.7
B0005,1,59.949,4.0314,-2.0,1.3322,0.9992,25.38
B0005,1,60.857,3.9937,-2.0,1.35239,0.9992,24.13
B0005,1,61.766,3.9442,-2.0,1.37257,0.9992,24.02
B0005,1,62.674,3.8776,-2.0,1.39276,0.9992,22.56
B0005,1,63.582,3.8148,-2.0,1.41294,0.9992,23.15
B0005,1,64.491,3.711,-2.0,1.43312,0.9992,21.85
B0005,1,65.399,3.6081,-2.0,1.45331,0.9992,22.68
B0005,1,66.307,3.5038,-2.0,1.47349,0.9992,25.01
B0005,1,67.216,3.3697,-2.0,1.49368,0.9992,26.25
B0005,1,68.124,3.2546,-2.0,1.51386,0.9992,23.68
B0005,1,69.032,3.1184,-2.0,1.53405,0.9992,26.29
B0005,1,69.941,3.0147,-2.0,1.55423,0.9992,22.35
B0005,1,70.849,2.9306,-2.0,1.57442,0.9992,26.44
B0005,1,71.757,2.8507,-2.0,1.5946,0.9992,24.56
B0005,1,72.665,2.7795,-2.0,1.61479,0.9992,24.85
B0005,1,73.574,2.7264,-2.0,1.63497,0.9992,24.28
B0005,1,74.482,2.6809,-2.0,1.65516,0.9992,23.94
B0005,1,75.39,2.644,-2.0,1.67534,0.9992,23.72
B0005,1,76.299,2.6144,-2.0,1.69553,0.9992,23.9
B0005,1,77.207,2.5992,-2.0,1.71571,0.9992,22.9
B0005,1,78.115,2.5909,-2.0,1.7359,0.9992,25.39
B0005,1,79.024,2.5842,-2.0,1.75608,0.9992,22.43
B0005,1,79.932,2.5668,-2.0,1.77627,0.9992,24.94
B0005,1,80.84,2.5611,-2.0,1.79645,0.9992,23.78
B0005,1,81.749,2.5645,-2.0,1.81664,0.9992,23.03
B0005,1,82.657,2.5592,-2.0,1.83682,0.9992,22.67
B0005,1,83.565,2.5534,-2.0,1.85701,0.9992,24.32
B0005,1,84.474,2.5467,-2.0,1.87719,0.9992,24.44
B0005,1,85.382,2.5533,-2.0,1.89738,0.9992,24.55
B0005,1,86.29,2.5536,-2.0,1.91756,0.9992,25.36
B0005,1,87.199,2.5525,-2.0,1.93775,0.9992,23.57
B0005,1,88.107,2.552,-2.0,1.95793,0.9992,24.54
B0005,1,89.015,2.5512,-2.0,1.97812,0.9992,24.04
B0005,1,89.924,2.5472,-2.0,1.9983,0.9992,23.34
B0005,42,0.0,4.143,-2.0,0.0,0.9649,25.75
B0005,42,0.877,4.1438,-2.0,0.01949,0.9649,23.31
B0005,42,1.754,4.1464,-2.0,0.03899,0.9649,24.89
B0005,42,2.632,4.1485,-2.0,0.05848,0.9649,25.25
B0005,42,3.509,4.1466,-2.0,0.07797,0.9649,24.28
B0005,42,4.386,4.1458,-2.0,0.09747,0.9649,26.15
B0005,42,5.263,4.1441,-2.0,0.11696,0.9649,24.31
B0005,42,6.14,4.1532,-2.0,0.13645,0.9649,24.41
B0005,42,7.018,4.1491,-2.0,0.15595,0.9649,23.87
B0005,42,7.895,4.1502,-2.0,0.17544,0.9649,23.85
B0005,42,8.772,4.1548,-2.0,0.19494,0.9649,26.21
B0005,42,9.649,4.1472,-2.0,0.21443,0.9649,22.63
B0005,42,10.527,4.1496,-2.0,0.23392,0.9649,26.58
B0005,42,11.404,4.146,-2.0,0.25342,0.9649,25.64
B0005,42,12.281,4.1584,-2.0,0.27291,0.9649,23.45
B0005,42,13.158,4.1528,-2.0,0.2924,0.9649,25.63
B0005,42,14.035,4.1481,-2.0,0.3119,0.9649,23.8
B0005,42,14.913,4.1471,-2.0,0.33139,0.9649,22.99
B0005,42,15.79,4.1468,-2.0,0.35088,0.9649,22.78
B0005,42,16.667,4.1502,-2.0,0.37038,0.9649,23.23
B0005,42,17.544,4.1512,-2.0,0.38987,0.9649,22.44
