battery_id,cycle_number,capacity_ah,rated_capacity_ah,state_of_health,temperature_c,internal_resistance_mohm,charge_time_min,discharge_time_min,voltage_drop_v,energy_wh,remaining_useful_life,is_end_of_life,alpha,temp_profile
B0018,1,1.99526,2.0,0.99763,40.35,175.58,115.41,85.86,0.3453,7.3825,323,False,0.0011,High Temp
B0018,2,1.98253,2.0,0.99127,38.73,171.38,117.07,86.36,0.3435,7.3354,322,False,0.0011,High Temp
B0018,3,2.00031,2.0,1.00016,34.92,169.0,122.46,91.92,0.3502,7.4012,321,False,0.0011,High Temp
B0018,4,2.00884,2.0,1.00442,38.93,170.87,118.88,90.4,0.3571,7.4327,320,False,0.0011,High Temp
B0018,5,1.97827,2.0,0.98914,37.42,175.99,122.73,88.3,0.3605,7.3196,319,False,0.0011,High Temp
B0018,6,1.98957,2.0,0.99479,44.5,178.57,122.92,94.81,0.3631,7.3614,318,False,0.0011,High Temp
B0018,7,1.98505,2.0,0.99253,42.17,174.17,126.94,89.69,0.3456,7.3447,317,False,0.0011,High Temp
B0018,8,1.97579,2.0,0.9879,43.29,182.29,118.14,90.06,0.3495,7.3104,316,False,0.0011,High Temp
B0018,9,1.98178,2.0,0.99089,41.36,184.77,117.41,86.62,0.3606,7.3326,315,False,0.0011,High Temp
B0018,10,1.96743,2.0,0.98371,44.01,187.76,120.47,90.98,0.3768,7.2795,314,False,0.0011,High Temp
B0018,11,1.97518,2.0,0.98759,39.0,173.05,114.98,89.41,0.3457,7.3082,313,False,0.0011,High Temp
B0018,12,1.97974,2.0,0.98987,40.28,175.92,117.08,89.23,0.3592,7.325,312,False,0.0011,High Temp
B0018,13,1.96246,2.0,0.98123,40.26,178.48,117.28,87.13,0.3593,7.2611,311,False,0.0011,High Temp
B0018,14,1.96037,2.0,0.98018,41.05,174.38,122.59,92.89,0.3402,7.2534,310,False,0.0011,High Temp
B0018,15,1.97154,2.0,0.98577,37.82,180.79,115.78,89.68,0.3528,7.2947,309,False,0.0011,High Temp
B0018,16,1.96345,2.0,0.98173,36.91,179.2,116.94,89.46,0.355,7.2648,308,False,0.0011,High Temp
B0018,17,1.96203,2.0,0.98102,40.44,176.12,120.06,91.35,0.3445,7.2595,307,False,0.0011,High Temp
B0018,18,1.97016,2.0,0.98508,44.49,181.31,115.19,89.26,0.3572,7.2896,306,False,0.0011,High Temp
B0018,19,1.97358,2.0,0.98679,40.1,176.71,116.16,90.99,0.3477,7.3023,305,False,0.0011,High Temp
B0018,20,1.95683,2.0,0.97842,42.87,182.22,119.21,88.02,0.3713,7.2403,304,False,0.0011,High Temp
B0018,21,1.95906,2.0,0.97953,39.34,181.33,118.27,85.2,0.3652,7.2485,303,False,0.0011,High Temp
B0018,22,1.96732,2.0,0.98366,37.35,175.35,116.9,89.98,0.3552,7.2791,302,False,0.0011,High Temp
B0018,23,1.94877,2.0,0.97438,37.25,180.16,114.54,87.98,0.369,7.2104,301,False,0.0011,High Temp
B0018,24,1.93788,2.0,0.96894,35.4,185.98,117.23,89.48,0.3704,7.1702,300,False,0.0011,High Temp
B0018,25,1.94445,2.0,0.97223,41.32,181.36,119.56,86.74,0.3495,7.1945,299,False,0.0011,High Temp
B0018,26,1.94631,2.0,0.97316,39.21,183.07,115.56,90.77,0.3749,7.2013,298,False,0.0011,High Temp
B0018,27,1.94919,2.0,0.97459,39.08,175.65,125.1,87.59,0.3438,7.212,297,False,0.0011,High Temp
B0018,28,1.94267,2.0,0.97134,43.5,190.09,122.98,89.59,0.3694,7.1879,296,False,0.0011,High Temp
B0018,29,1.93182,2.0,0.96591,42.87,176.48,118.53,84.07,0.3482,7.1477,295,False,0.0011,High Temp
B0018,30,1.93269,2.0,0.96634,38.93,183.15,115.7,91.55,0.385,7.1509,294,False,0.0011,High Temp
B0018,31,1.92365,2.0,0.96183,44.75,191.5,119.24,86.44,0.3764,7.1175,293,False,0.0011,High Temp
B0018,32,1.9387,2.0,0.96935,40.38,186.47,115.17,85.45,0.3565,7.1732,292,False,0.0011,High Temp
B0018,33,1.9288,2.0,0.9644,36.41,183.36,123.04,89.19,0.3664,7.1366,291,False,0.0011,High Temp
B0018,34,1.92588,2.0,0.96294,45.64,198.97,117.9,83.81,0.4019,7.1258,290,False,0.0011,High Temp
B0018,35,1.9311,2.0,0.96555,38.11,189.38,117.88,86.53,0.3539,7.1451,289,False,0.0011,High Temp
B0018,36,1.92057,2.0,0.96029,42.91,191.13,118.97,84.91,0.3859,7.1061,288,False,0.0011,High Temp
B0018,37,1.9185,2.0,0.95925,37.18,194.68,121.56,85.12,0.3943,7.0985,287,False,0.0011,High Temp
B0018,38,1.92242,2.0,0.96121,41.93,185.84,121.86,85.37,0.3681,7.113,286,False,0.0011,High Temp
B0018,39,1.93712,2.0,0.96856,40.91,191.76,112.44,89.95,0.3701,7.1673,285,False,0.0011,High Temp
