battery_id,cycle_number,time_min,voltage_v,current_a,capacity_ah,state_of_health,temp_c
B0006,1,0.0,4.1424,-2.0,0.0,0.9991,21.17
B0006,1,0.908,4.1477,-2.0,0.02018,0.9991,24.55
B0006,1,1.817,4.156,-2.0,0.04037,0.9991,23.54
B0006,1,2.725,4.1479,-2.0,0.06055,0.9991,25.15
B0006,1,3.633,4.1407,-2.0,0.08074,0.9991,23.61
B0006,1,4.541,4.151,-2.0,0.10092,0.9991,24.45
B0006,1,5.45,4.1475,-2.0,0.1211,0.9991,24.03
B0006,1,6.358,4.1376,-2.0,0.14129,0.9991,23.34
B0006,1,7.266,4.1523,-2.0,0.16147,0.9991,23.02
B0006,1,8.174,4.1503,-2.0,0.18165,0.9991,24.45
B0006,1,9.083,4.1483,-2.0,0.20184,0.9991,24.17
B0006,1,9.991,4.1452,-2.0,0.22202,0.9991,23.79
B0006,1,10.899,4.1531,-2.0,0.24221,0.9991,24.16
B0006,1,11.808,4.1471,-2.0,0.26239,0.9991,24.22
B0006,1,12.716,4.1536,-2.0,0.28257,0.9991,21.95
B0006,1,13.624,4.1558,-2.0,0.30276,0.9991,23.66
B0006,1,14.532,4.1521,-2.0,0.32294,0.9991,25.2
B0006,1,15.441,4.1431,-2.0,0.34313,0.9991,23.29
B0006,1,16.349,4.1486,-2.0,0.36331,0.9991,23.22
B0006,1,17.257,4.1587,-2.0,0.38349,0.9991,23.14
B0006,1,18.165,4.1472,-2.0,0.40368,0.9991,24.2
B0006,1,19.074,4.144,-2.0,0.42386,0.9991,23.6
B0006,1,19.982,4.1516,-2.0,0.44404,0.9991,23.67
B0006,1,20.89,4.1495,-2.0,0.46423,0.9991,23.47
B0006,1,21.799,4.1424,-2.0,0.48441,0.9991,24.32
B0006,1,22.707,4.1588,-2.0,0.5046,0.9991,24.02
B0006,1,23.615,4.1511,-2.0,0.52478,0.9991,24.69
B0006,1,24.523,4.1437,-2.0,0.54496,0.9991,25.7
B0006,1,25.432,4.151,-2.0,0.56515,0.9991,25.63
B0006,1,26.34,4.1463,-2.0,0.58533,0.9991,25.82
B0006,1,27.248,4.1539,-2.0,0.60552,0.9991,24.55
B0006,1,28.156,4.1512,-2.0,0.6257,0.9991,23.75
B0006,1,29.065,4.156,-2.0,0.64588,0.9991,24.14
B0006,1,29.973,4.1402,-2.0,0.66607,0.9991,22.88
B0006,1,30.881,4.1491,-2.0,0.68625,0.9991,24.31
B0006,1,31.79,4.1497,-2.0,0.70643,0.9991,25.22
B0006,1,32.698,4.1402,-2.0,0.72662,0.9991,24.14
B0006,1,33.606,4.1409,-2.0,0.7468,0.9991,24.76
B0006,1,34.514,4.1495,-2.0,0.76699,0.9991,24.42
B0006,1,35.423,4.1457,-2.0,0.78717,0.9991,25.28
B0006,1,36.331,4.1552,-2.0,0.80735,0.9991,24.58
B0006,1,37.239,4.1493,-2.0,0.82754,0.9991,24.58
B0006,1,38.147,4.1464,-2.0,0.84772,0.9991,24.86
B0006,1,39.056,4.1581,-2.0,0.86791,0.9991,25.07
B0006,1,39.964,4.1462,-2.0,0.88809,0.9991,24.36
B0006,1,40.872,4.1433,-2.0,0.90827,0.9991,24.57
B0006,1,41.781,4.152,-2.0,0.92846,0.9991,22.13
B0006,1,42.689,4.1438,-2.0,0.94864,0.9991,23.72
B0006,1,43.597,4.148,-2.0,0.96882,0.9991,22.79
B0006,1,44.505,4.1513,-2.0,0.98901,0.9991,24.25
B0006,1,45.414,4.1481,-2.0,1.00919,0.9991,23.24
B0006,1,46.322,4.154,-2.0,1.02938,0.9991,25.66
B0006,1,47.23,4.1459,-2.0,1.04956,0.9991,23.39
B0006,1,48.138,4.1502,-2.0,1.06974,0.9991,23.64
B0006,1,49.047,4.1462,-2.0,1.08993,0.9991,24.74
B0006,1,49.955,4.1363,-2.0,1.11011,0.9991,25.32
B0006,1,50.863,4.1447,-2.0,1.1303,0.9991,23.59
B0006,1,51.772,4.1418,-2.0,1.15048,0.9991,23.96
B0006,1,52.68,4.1308,-2.0,1.17066,0.9991,25.49
B0006,1,53.588,4.1359,-2.0,1.19085,0.9991,24.44
B0006,1,54.496,4.1353,-2.0,1.21103,0.9991,22.98
B0006,1,55.405,4.1259,-2.0,1.23121,0.9991,23.73
B0006,1,56.313,4.1184,-2.0,1.2514,0.9991,21.87
B0006,1,57.221,4.1011,-2.0,1.27158,0.9991,23.4
B0006,1,58.129,4.0868,-2.0,1.29177,0.9991,24.47
B0006,1,59.038,4.0587,-2.0,1.31195,0.9991,23.29
B0006,1,59.946,4.0321,-2.0,1.33213,0.9991,23.1
B0006,1,60.854,3.9984,-2.0,1.35232,0.9991,23.63
B0006,1,61.763,3.9303,-2.0,1.3725,0.9991,23.63
B0006,1,62.671,3.8775,-2.0,1.39269,0.9991,22.37
B0006,1,63.579,3.8003,-2.0,1.41287,0.9991,24.11
B0006,1,64.487,3.7222,-2.0,1.43305,0.9991,24.31
B0006,1,65.396,3.6078,-2.0,1.45324,0.9991,24.46
B0006,1,66.304,3.4928,-2.0,1.47342,0.9991,23.31
B0006,1,67.212,3.3669,-2.0,1.4936,0.9991,22.25
B0006,1,68.12,3.2473,-2.0,1.51379,0.9991,24.16
B0006,1,69.029,3.13,-2.0,1.53397,0.9991,23.58
B0006,1,69.937,3.0166,-2.0,1.55416,0.9991,24.61
B0006,1,70.845,2.9186,-2.0,1.57434,0.9991,24.78
B0006,1,71.754,2.8385,-2.0,1.59452,0.9991,23.25
B0006,1,72.662,2.769,-2.0,1.61471,0.9991,23.5
B0006,1,73.57,2.7274,-2.0,1.63489,0.9991,24.52
B0006,1,74.478,2.6852,-2.0,1.65508,0.9991,24.52
B0006,1,75.387,2.6422,-2.0,1.67526,0.9991,23.67
B0006,1,76.295,2.6189,-2.0,1.69544,0.9991,25.33
B0006,1,77.203,2.5981,-2.0,1.71563,0.9991,24.89
B0006,1,78.111,2.5945,-2.0,1.73581,0.9991,25.83
B0006,1,79.02,2.5775,-2.0,1.75599,0.9991,24.71
B0006,1,79.928,2.5832,-2.0,1.77618,0.9991,23.38
B0006,1,80.836,2.5584,-2.0,1.79636,0.9991,22.12
B0006,1,81.745,2.5654,-2.0,1.81655,0.9991,22.12
B0006,1,82.653,2.5568,-2.0,1.83673,0.9991,24.44
B0006,1,83.561,2.5573,-2.0,1.85691,0.9991,24.43
B0006,1,84.469,2.5558,-2.0,1.8771,0.9991,25.28
B0006,1,85.378,2.5487,-2.0,1.89728,0.9991,23.32
B0006,1,86.286,2.5487,-2.0,1.91747,0.9991,24.83
B0006,1,87.194,2.5563,-2.0,1.93765,0.9991,24.45
B0006,1,88.102,2.5573,-2.0,1.95783,0.9991,22.82
B0006,1,89.011,2.5593,-2.0,1.97802,0.9991,25.52
B0006,1,89.919,2.5544,-2.0,1.9982,0.9991,25.78
B0006,42,0.0,4.1417,-2.0,0.0,0.9629,23.48
B0006,42,0.875,4.1463,-2.0,0.01945,0.9629,24.72
B0006,42,1.751,4.1447,-2.0,0.03891,0.9629,24.76
B0006,42,2.626,4.1569,-2.0,0.05836,0.9629,24.7
B0006,42,3.501,4.1514,-2.0,0.07781,0.9629,23.01
B0006,42,4.377,4.1458,-2.0,0.09726,0.9629,25.25
B0006,42,5.252,4.1539,-2.0,0.11672,0.9629,23.96
B0006,42,6.128,4.1479,-2.0,0.13617,0.9629,21.97
B0006,42,7.003,4.1446,-2.0,0.15562,0.9629,25.91
B0006,42,7.878,4.1436,-2.0,0.17507,0.9629,24.19
B0006,42,8.754,4.155,-2.0,0.19453,0.9629,22.75
B0006,42,9.629,4.1509,-2.0,0.21398,0.9629,24.94
B0006,42,10.504,4.1501,-2.0,0.23343,0.9629,26.87
B0006,42,11.38,4.1417,-2.0,0.25288,0.9629,25.06
B0006,42,12.255,4.1491,-2.0,0.27234,0.9629,24.77
B0006,42,13.131,4.1522,-2.0,0.29179,0.9629,23.27
B0006,42,14.006,4.1511,-2.0,0.31124,0.9629,22.14
B0006,42,14.881,4.153,-2.0,0.33069,0.9629,24.3
B0006,42,15.757,4.1532,-2.0,0.35015,0.9629,25.06
B0006,42,16.632,4.1518,-2.0,0.3696,0.9629,24.15
B0006,42,17.507,4.1456,-2.0,0.38905,0.9629,23.29
B0006,42,18.383,4.1559,-2.0,0.40851,0.9629,25.44
B0006,42,19.258,4.1488,-2.0,0.42796,0.9629,24.05
B0006,42,20.133,4.1455,-2.0,0.44741,0.9629,25.17
B0006,42,21.009,4.1533,-2.0,0.46686,0.9629,25.94
B0006,42,21.884,4.1456,-2.0,0.48632,0.9629,23.62
B0006,42,22.76,4.1512,-2.0,0.50577,0.9629,24.65
B0006,42,23.635,4.1489,-2.0,0.52522,0.9629,23.13
B0006,42,24.51,4.1544,-2.0,0.54467,0.9629,24.72
B0006,42,25.386,4.1454,-2.0,0.56413,0.9629,25.36
B0006,42,26.261,4.1558,-2.0,0.58358,0.9629,24.13
B0006,42,27.136,4.1504,-2.0,0.60303,0.9629,24.55
B0006,42,28.012,4.1457,-2.0,0.62248,0.9629,24.03
B0006,42,28.887,4.1392,-2.0,0.64194,0.9629,24.88
B0006,42,29.763,4.1421,-2.0,0.66139,0.9629,25.5
B0006,42,30.638,4.1483,-2.0,0.68084,0.9629,23.79
B0006,42,31.513,4.1468,-2.0,0.70029,0.9629,23.71
B0006,42,32.389,4.157,-2.0,0.71975,0.9629,21.51
B0006,42,33.264,4.1563,-2.0,0.7392,0.9629,24.34
B0006,42,34.139,4.1438,-2.0,0.75865,0.9629,22.92
B0006,42,35.015,4.1582,-2.0,0.77811,0.9629,23.05
B0006,42,35.89,4.1439,-2.0,0.79756,0.9629,25.14
B0006,42,36.765,4.1513,-2.0,0.81701,0.9629,23.06
B0006,42,37.641,4.1505,-2.0,0.83646,0.9629,22.97
B0006,42,38.516,4.1548,-2.0,0.85592,0.9629,25.06
B0006,42,39.392,4.1517,-2.0,0.87537,0.9629,24.36
B0006,42,40.267,4.1576,-2.0,0.89482,0.9629,24.0
B0006,42,41.142,4.1424,-2.0,0.91427,0.9629,24.45
B0006,42,42.018,4.1582,-2.0,0.93373,0.9629,22.99
